(0, 6):for 	 p.Purpose
(733, 18):from 	 p.Explanation
(733, 31):his 	 p.Originator
(734, 8):my 	 p.Whole
(735, 6):of 	 p.Identity
(736, 7):my 	 p.SocialRel
(736, 18):on 	 p.Characteristic
(736, 21):for 	 p.Duration
(736, 27):as 	 p.ComparisonRef
(736, 35):to 	 p.Topic
(737, 5):by 	 p.Instrument
(738, 14):on 	 p.Characteristic
(739, 5):my 	 p.SocialRel
(739, 15):of 	 p.Theme
(739, 16):my 	 p.Theme
(739, 18):as 	 p.Explanation
(739, 26):my 	 p.Gestalt
(739, 28):by 	 p.Means
(740, 2):my 	 p.SocialRel
(740, 6):to 	 p.Goal
(740, 19):to 	 p.Goal
(740, 23):like 	 p.Identity
(740, 29):for 	 p.Beneficiary
(741, 9):to 	 p.Recipient
(741, 19):his 	 p.Gestalt
(741, 29):about 	 p.Topic
(741, 34):at 	 p.Locus
(741, 50):for 	 p.Beneficiary
(741, 54):to 	 p.Goal
(741, 62):for 	 p.Beneficiary
(742, 10):about 	 p.Topic
(743, 6):of 	 p.QuantityItem
(743, 14):of 	 p.QuantityItem
(744, 2):after 	 p.Time
(744, 6):of 	 p.QuantityItem
(745, 8):to 	 p.Purpose
(745, 10):in 	 p.Locus
(745, 17):your 	 p.Possessor
(746, 3):my 	 p.SocialRel
(746, 6):after 	 p.Time
(746, 7):our 	 p.Agent
(747, 8):my 	 p.Experiencer
(748, 9):for 	 p.Purpose
(749, 3):to 	 p.Goal
(749, 6):on 	 p.Time
(749, 10):our 	 p.SocialRel
(749, 13):s 	 p.Possessor
(750, 6):of 	 p.QuantityItem
(750, 9):of 	 p.Gestalt
(750, 17):his 	 p.Agent
(751, 2):back 	 p.Direction
(751, 3):to 	 p.Purpose
(752, 6):with 	 p.Topic
(752, 18):of 	 p.Identity
(753, 14):on 	 p.Locus
(753, 15):their 	 p.Gestalt
(754, 4):for 	 p.ComparisonRef
(755, 6):at 	 p.Org
(755, 8):for 	 p.Duration
(756, 11):on 	 p.Topic
(756, 12):my 	 p.Whole
(757, 5):'s 	 p.Possessor
(757, 8):as 	 p.Explanation
(757, 13):on 	 p.Locus
(757, 21):your 	 p.Whole
(758, 7):with 	 p.Characteristic
(759, 10):in 	 p.Locus
(760, 1):My 	 p.Whole
(761, 3):to 	 p.Goal
(761, 5):after 	 p.Explanation
(761, 8):of 	 p.QuantityItem
(762, 5):in 	 p.Locus
(762, 11):until 	 p.EndTime
(762, 14):home 	 p.Goal
(762, 15):to 	 p.Purpose
(762, 17):my 	 p.Whole
(763, 3):my 	 p.SocialRel
(764, 8):to 	 p.Goal
(764, 9):my 	 p.Gestalt
(765, 11):with 	 p.Characteristic
(765, 12):my 	 p.Whole
(766, 12):until 	 p.EndTime
(766, 16):to 	 p.Purpose
(766, 23):in 	 p.Characteristic
(766, 24):its 	 p.Gestalt
(767, 14):at 	 p.Time
(767, 19):my 	 p.Whole
(767, 21):in 	 p.Manner
(767, 28):at 	 p.Locus
(768, 5):back 	 p.Direction
(769, 8):home 	 p.Goal
(769, 9):from 	 p.Source
(769, 16):for 	 p.Purpose
(769, 28):in 	 p.Possession
(769, 33):at 	 p.Locus
(770, 19):of 	 p.Whole
(770, 27):of 	 p.Whole
(771, 8):with 	 p.Circumstance
(771, 19):s 	 p.Possessor
(772, 3):my 	 p.SocialRel
(772, 6):in 	 p.Locus
(772, 8):for 	 p.Purpose
(772, 13):my 	 p.SocialRel
(772, 22):for 	 p.Purpose
(772, 25):of 	 p.Whole
(773, 13):in 	 p.Locus
(774, 16):like 	 p.Theme
(774, 28):from 	 p.StartTime
(774, 30):to 	 p.EndTime
(774, 32):to 	 p.Purpose
(775, 14):of 	 p.Gestalt
(776, 1):In 	 p.Time
(776, 27):with 	 p.Ancillary
(776, 41):by 	 p.Agent
(776, 49):of 	 p.QuantityItem
(776, 51):to 	 p.Theme
(777, 1):My 	 p.OrgMember
(777, 6):to 	 p.Goal
(777, 11):ago 	 p.Time
(777, 17):of 	 p.QuantityItem
(778, 13):than 	 p.ComparisonRef
(778, 18):in 	 p.Locus
(778, 37):of 	 p.QuantityItem
(779, 14):back 	 p.Direction
(780, 4):their 	 p.Originator
(781, 1):Their 	 p.Gestalt
(781, 6):for 	 p.ComparisonRef
(781, 9):of 	 p.Gestalt
(782, 5):at 	 p.Topic
(782, 7):your 	 p.Possessor
(782, 10):to 	 p.Recipient
(783, 11):like 	 p.ComparisonRef
(784, 4):for 	 p.Theme
(784, 9):for 	 p.Purpose
(785, 5):back 	 p.Direction
(785, 6):for 	 p.Purpose
(786, 5):on 	 p.Locus
(786, 15):of 	 p.QuantityItem
(786, 21):from 	 p.Originator
(786, 39):except 	 p.PartPortion
(786, 40):from 	 p.Explanation
(786, 42):at 	 p.Locus
(786, 43):their 	 p.SocialRel
(787, 3):from 	 p.Source
(787, 11):ago 	 p.Time
(788, 4):to 	 p.Goal
(788, 14):your 	 p.Whole
(789, 7):with 	 p.Theme
(789, 8):my 	 p.Whole
(789, 17):back 	 p.Direction
(789, 18):to 	 p.Purpose
(789, 26):for 	 p.Theme
(789, 27):my 	 p.Whole
(790, 4):in 	 p.Direction
(790, 8):behind 	 p.Locus
(791, 1):After 	 p.Time
(792, 4):his 	 p.Gestalt
(793, 6):to 	 p.Goal
(794, 8):in 	 p.Time
(794, 20):back 	 p.Direction
(795, 5):about 	 p.Topic
(795, 18):at 	 p.Time
(796, 4):to 	 p.Recipient
(797, 7):with 	 p.Topic
(798, 6):with 	 p.Topic
(799, 5):to 	 p.Topic
(799, 6):his 	 p.Gestalt
(800, 5):but 	 p.PartPortion
(801, 3):to 	 p.Purpose
(802, 4):with 	 p.SocialRel
(802, 6):as 	 p.Identity
(802, 7):my 	 p.SocialRel
(802, 13):for 	 p.Duration
(803, 7):in 	 p.Characteristic
(804, 7):through 	 p.Circumstance
(804, 23):with 	 p.SocialRel
(804, 24):throughout 	 p.Duration
(804, 25):my 	 p.Theme
(804, 28):beyond 	 p.Time
(805, 1):For 	 p.Purpose
(805, 10):to 	 p.Purpose
(806, 5):at 	 p.Locus
(806, 7):like 	 p.PartPortion
(806, 13):in 	 p.Locus
(807, 13):from 	 p.Originator
(808, 7):from 	 p.Gestalt
(809, 5):in 	 p.Locus
(810, 6):in 	 p.Locus
(810, 9):to 	 p.Purpose
(811, 1):My 	 p.Possessor
(811, 9):to 	 p.Goal
(811, 16):for 	 p.Purpose
(812, 3):my 	 p.SocialRel
(812, 7):over 	 p.Direction
(812, 8):to 	 p.Purpose
(813, 8):with 	 p.Beneficiary
(813, 9):my 	 p.SocialRel
(814, 3):in 	 p.Direction
(814, 9):with 	 p.Agent
(815, 9):in 	 p.Topic
(816, 9):my 	 p.Agent
(816, 16):of 	 p.Gestalt
(817, 5):about 	 p.Approximator
(818, 5):on 	 p.Agent
(818, 8):until 	 p.EndTime
(818, 11):on 	 p.Topic
(818, 16):within 	 p.Locus
(818, 17):my 	 p.Gestalt
(818, 22):to 	 p.Beneficiary
(819, 3):of 	 p.QuantityItem
(819, 10):of 	 p.Possession
(820, 4):over 	 p.Approximator
(820, 15):in 	 p.Time
(820, 16):my 	 p.Theme
(820, 25):with 	 p.Topic
(820, 36):of 	 p.Whole
(821, 8):from 	 p.Source
(822, 2):for 	 p.Explanation
(823, 5):about 	 p.Stimulus
(823, 21):like 	 p.Manner
(823, 24):in 	 p.Locus
(824, 11):at 	 p.Cost
(824, 21):outside 	 p.Locus
(824, 22):on 	 p.Locus
(824, 27):on 	 p.Time
(825, 2):of 	 p.Whole
(825, 3):my 	 p.Experiencer
(825, 7):to 	 p.Purpose
(825, 9):in 	 p.Locus
(826, 5):to 	 p.Goal
(826, 8):around 	 p.Locus
(826, 21):with 	 p.Characteristic
(826, 24):s 	 p.Whole
(826, 26):in 	 p.Locus
(826, 41):of 	 p.Theme
(827, 4):to 	 p.Purpose
(827, 14):in 	 p.Characteristic
(827, 35):on 	 p.Beneficiary
(828, 6):away 	 p.Locus
(828, 7):from 	 p.Source
(829, 6):of 	 p.QuantityItem
(829, 14):about 	 p.Topic
(829, 18):of 	 p.Gestalt
(830, 8):from 	 p.Source
(831, 10):in 	 p.Locus
(831, 16):from 	 p.Source
(831, 23):about 	 p.Stimulus
(832, 6):as 	 p.Characteristic
(832, 8):as 	 p.ComparisonRef
(832, 12):in 	 p.Locus
(833, 22):as 	 p.Identity
(833, 26):against 	 p.ComparisonRef
(834, 6):your 	 p.Possessor
(835, 6):a 	 p.Locus
(836, 14):to 	 p.Goal
(836, 20):in 	 p.Locus
(837, 6):like 	 p.Manner
(837, 15):my 	 p.Experiencer
(838, 1):As 	 p.Identity
(838, 6):about 	 p.Topic
(839, 9):since 	 p.StartTime
(839, 13):of 	 p.Whole
(840, 4):to 	 p.Goal
(841, 10):my 	 p.Theme
(842, 1):By 	 p.Time
(842, 4):of 	 p.Identity
(842, 9):to 	 p.Goal
(843, 1):My 	 p.Experiencer
(843, 5):from 	 p.Stimulus
(844, 9):to 	 p.Purpose
(845, 1):At 	 p.Locus
(845, 5):of 	 p.Whole
(845, 6):his 	 p.Possessor
(845, 12):around 	 p.Direction
(846, 5):after 	 p.Time
(846, 7):inside 	 p.Goal
(847, 4):his 	 p.SocialRel
(848, 6):in 	 p.Topic
(848, 15):like 	 p.Manner
(848, 18):of 	 p.Org
(848, 19):their 	 p.OrgMember
(849, 12):as 	 p.Identity
(850, 5):on 	 p.Time
(850, 10):with 	 p.Circumstance
(850, 23):on 	 p.Time
(851, 7):on 	 p.Time
(852, 5):about 	 p.Topic
(852, 14):on 	 p.Topic
(852, 17):to 	 p.Purpose
(852, 19):from 	 p.Whole
(853, 2):from 	 p.Originator
(854, 10):with 	 p.Means
(855, 5):to 	 p.Recipient
(856, 3):Of 	 p.Topic
(856, 5):Your 	 p.SocialRel
(857, 11):by 	 p.Instrument
(857, 14):on 	 p.Locus
(858, 1):My 	 p.Experiencer
(859, 23):for 	 p.Duration
(860, 5):in 	 p.Topic
(861, 24):at 	 p.Stimulus
(861, 33):to 	 p.Recipient
(861, 39):before 	 p.Time
(861, 41):back 	 p.Direction
(862, 22):about 	 p.Topic
(862, 24):for 	 p.Duration
(862, 27):until 	 p.EndTime
(863, 1):After 	 p.Time
(863, 9):his 	 p.Gestalt
(863, 11):of 	 p.Gestalt
(864, 14):to 	 p.Topic
(864, 18):with 	 p.Topic
(865, 11):with 	 p.Manner
(866, 25):my 	 p.Whole
(866, 41):to 	 p.Goal
(866, 44):of 	 p.Gestalt
(867, 6):of 	 p.Possession
(868, 7):before 	 p.Time
(868, 8):until 	 p.EndTime
(868, 11):at 	 p.Locus
(868, 30):to 	 p.Beneficiary
(869, 7):with 	 p.SocialRel
(870, 8):in 	 p.Direction
(870, 11):for 	 p.Theme
(870, 25):her 	 p.Possessor
(871, 15):with 	 p.Ancillary
(871, 23):for 	 p.Stimulus
(872, 8):my 	 p.Gestalt
(872, 15):with 	 p.Agent
(873, 7):at 	 p.Topic
(874, 3):in 	 p.Locus
(874, 16):to 	 p.Goal
(874, 18):by 	 p.Originator
(874, 19):my 	 p.SocialRel
(874, 29):for 	 p.Purpose
(874, 30):my 	 p.Agent
(875, 16):below 	 p.ComparisonRef
(875, 17):my 	 p.Gestalt
(876, 3):of 	 p.QuantityItem
(876, 28):to 	 p.Recipient
(877, 3):to 	 p.Purpose
(877, 5):my 	 p.Whole
(877, 10):by 	 p.Time
(878, 5):with 	 p.Stimulus
(878, 28):in 	 p.Locus
(878, 31):of 	 p.Whole
(879, 10):my 	 p.Whole
(879, 16):of 	 p.QuantityItem
(879, 17):my 	 p.Whole
(879, 21):like 	 p.Theme
(880, 3):to 	 p.Beneficiary
(881, 1):For 	 p.Duration
(881, 9):of 	 p.Theme
(881, 12):from 	 p.Locus
(882, 4):in 	 p.Locus
(883, 3):of 	 p.Possession
(884, 4):of 	 p.QuantityItem
(884, 14):with 	 p.Topic
(884, 24):their 	 p.Possessor
(885, 2):of 	 p.Whole
(886, 6):to 	 p.Goal
(887, 8):on 	 p.Time
(887, 16):in 	 p.Locus
(888, 4):in 	 p.Locus
(889, 2):by 	 p.Originator
(890, 6):for 	 p.Beneficiary
(890, 7):our 	 p.Possessor
(891, 3):of 	 p.Theme
(892, 6):his 	 p.Agent
(892, 10):to 	 p.Recipient
(893, 5):for 	 p.Purpose
(893, 6):my 	 p.SocialRel
(893, 9):'s 	 p.Possessor
(893, 12):as 	 p.Explanation
(893, 17):to 	 p.Recipient
(894, 9):to 	 p.Purpose
(894, 25):towards 	 p.Beneficiary
(895, 25):from 	 p.Originator
(896, 22):between 	 p.Theme
(896, 29):to 	 p.ComparisonRef
(897, 9):in 	 p.Time
(898, 4):in 	 p.Locus
(899, 4):to 	 p.Recipient
(899, 7):by 	 p.Agent
(899, 26):in 	 p.Locus
(899, 35):of 	 p.Whole
(900, 16):by 	 p.Stimulus
(900, 21):on 	 p.Locus
(901, 17):back 	 p.Direction
(902, 1):Our 	 p.SocialRel
(903, 9):back 	 p.Direction
(904, 6):in 	 p.Locus
(904, 15):in 	 p.Locus
(904, 16):our 	 p.Gestalt
(905, 13):his 	 p.Originator
(905, 17):at 	 p.Cost
(906, 1):Unlike 	 p.ComparisonRef
(907, 7):to 	 p.Purpose
(907, 24):our 	 p.SocialRel
(907, 29):my 	 p.SocialRel
(907, 33):to 	 p.Recipient
(907, 36):to 	 p.Purpose
(907, 42):our 	 p.Possessor
(908, 8):of 	 p.QuantityItem
(909, 12):over 	 p.Frequency
(909, 14):over 	 p.Frequency
(910, 3):of 	 p.Gestalt
(911, 3):on 	 p.Time
(911, 5):for 	 p.Circumstance
(911, 12):for 	 p.Purpose
(911, 17):on 	 p.Locus
(912, 9):our 	 p.SocialRel
(913, 19):of 	 p.QuantityItem
(913, 22):for 	 p.Purpose
(913, 30):with 	 p.Topic
(913, 40):for 	 p.Purpose
(914, 9):back 	 p.Direction
(914, 10):in 	 p.Instrument
(915, 4):to 	 p.Purpose
(915, 7):with 	 p.Recipient
(915, 14):at 	 p.Locus
(915, 18):with 	 p.Agent
(915, 19):her 	 p.SocialRel
(916, 1):Her 	 p.Originator
(917, 2):for 	 p.Explanation
(918, 12):as 	 p.ComparisonRef
(918, 16):her 	 p.Possessor
(919, 11):my 	 p.Possessor
(919, 14):to 	 p.Purpose
(919, 28):to 	 p.Goal
(919, 32):before 	 p.Time
(919, 35):about 	 p.Topic
(920, 5):with 	 p.Characteristic
(920, 8):as 	 p.Characteristic
(920, 10):with 	 p.OrgMember
(921, 5):with 	 p.Topic
(921, 8):in 	 p.Locus
(921, 9):my 	 p.Possessor
(922, 7):in 	 p.Locus
(922, 10):to 	 p.Purpose
(923, 7):my 	 p.Possessor
(923, 11):for 	 p.Cost
(923, 12):about 	 p.Approximator
(923, 22):to 	 p.Theme
(924, 6):in 	 p.Time
(924, 7):about 	 p.Approximator
(924, 16):my 	 p.SocialRel
(925, 7):on 	 p.Topic
(925, 8):our 	 p.Possessor
(926, 6):on 	 p.Theme
(927, 9):about 	 p.Topic
(928, 8):to 	 p.Recipient
(929, 2):to 	 p.Recipient
(929, 18):from 	 p.Originator
(930, 17):for 	 p.Possession
(931, 6):your 	 p.Possessor
(932, 3):like 	 p.Manner
(932, 6):in 	 p.Locus
(932, 11):through 	 p.Path
(932, 15):of 	 p.Whole
(933, 4):in 	 p.Characteristic
(934, 11):s 	 p.Gestalt
(934, 13):of 	 p.Stimulus
(935, 4):of 	 p.Whole
(936, 8):of 	 p.Locus
(937, 5):my 	 p.Whole
(937, 12):s 	 p.Originator
(938, 2):from 	 p.Org
(938, 13):from 	 p.PartPortion
(938, 14):his 	 p.Originator
(938, 18):to 	 p.PartPortion
(938, 21):of 	 p.Gestalt
(938, 22):his 	 p.Originator
(939, 1):His 	 p.Experiencer
(939, 9):with 	 p.Circumstance
(939, 16):with 	 p.Topic
(940, 12):with 	 p.SocialRel
(941, 5):your 	 p.Experiencer
(941, 7):into 	 p.Goal
(941, 9):for 	 p.Purpose
(941, 10):your 	 p.Possessor
(942, 10):as 	 p.Explanation
(942, 17):in 	 p.Manner
(942, 32):his 	 p.SocialRel
(942, 35):about 	 p.Stimulus
(942, 36):their 	 p.Originator
(943, 4):like 	 p.ComparisonRef
(944, 1):My 	 p.SocialRel
(945, 9):near 	 p.Locus
(945, 10):my 	 p.OrgMember
(945, 21):for 	 p.Theme
(945, 25):with 	 p.Characteristic
(945, 31):in 	 p.Locus
(945, 38):your 	 p.Agent
(946, 16):IN 	 p.Locus
(947, 14):IN 	 p.Locus
(948, 4):at 	 p.Recipient
(948, 8):at 	 p.Recipient
(948, 17):my 	 p.Possessor
(949, 14):to 	 p.Purpose
(949, 17):as 	 p.Time
(949, 19):as 	 p.ComparisonRef
(949, 25):my 	 p.Possessor
(949, 27):for 	 p.Purpose
(949, 29):at 	 p.Time
(949, 38):with 	 p.Agent
(949, 49):at 	 p.Time
(950, 2):like 	 p.Theme
(950, 6):about 	 p.Stimulus
(950, 18):for 	 p.Beneficiary
(951, 5):of 	 p.QuantityItem
(952, 5):to 	 p.Goal
(953, 5):my 	 p.Whole
(953, 8):for 	 p.Duration
(953, 11):plus 	 p.Approximator
(953, 15):to 	 p.Purpose
(954, 4):with 	 p.PartPortion
(954, 9):on 	 p.Locus
(954, 17):on 	 p.Locus
(954, 23):in 	 p.Locus
(955, 1):My 	 p.Whole
(956, 6):in 	 p.Locus
(957, 10):to 	 p.Goal
(958, 10):in 	 p.Purpose
(958, 11):his 	 p.Possessor
(958, 17):into 	 p.Characteristic
(958, 30):in 	 p.Locus
(958, 33):as 	 p.Explanation
(959, 4):near 	 p.Time
(960, 6):for 	 p.Duration
(960, 11):my 	 p.Possessor
(961, 3):in 	 p.Direction
(961, 6):before 	 p.Time
(962, 5):of 	 p.QuantityItem
(962, 7):with 	 p.Ancillary
(962, 12):into 	 p.Goal
(962, 16):of 	 p.QuantityItem
(963, 8):than 	 p.ComparisonRef
(964, 5):to 	 p.Goal
(964, 8):for 	 p.Duration
(964, 11):of 	 p.QuantityItem
(964, 18):to 	 p.Recipient
(965, 5):of 	 p.QuantityItem
(965, 8):below 	 p.Locus
(965, 17):like 	 p.ComparisonRef
(965, 21):s 	 p.OrgMember
(965, 30):on 	 p.Circumstance
(965, 37):for 	 p.Purpose
(965, 41):of 	 p.QuantityItem
(965, 54):like 	 p.ComparisonRef
(966, 5):of 	 p.QuantityItem
(966, 8):from 	 p.Org
(966, 18):but 	 p.PartPortion
(967, 20):of 	 p.Gestalt
(967, 37):to 	 p.Recipient
(968, 13):for 	 p.Theme
(968, 23):for 	 p.Beneficiary
(969, 6):for 	 p.Duration
(969, 8):my 	 p.Theme
(969, 16):to 	 p.Goal
(969, 20):in 	 p.Locus
(969, 24):off 	 p.Locus
(969, 32):in 	 p.Locus
(970, 2):of 	 p.QuantityItem
(970, 9):to 	 p.Experiencer
(970, 16):from 	 p.ComparisonRef
(971, 7):to 	 p.ComparisonRef
(972, 5):of 	 p.Gestalt
(972, 12):in 	 p.Topic
(972, 15):in 	 p.Locus
(973, 5):since 	 p.Explanation
(974, 7):ago 	 p.Time
(974, 9):before 	 p.Time
(974, 16):of 	 p.QuantityItem
(974, 32):to 	 p.Purpose
(974, 45):for 	 p.Theme
(975, 7):of 	 p.Theme
(976, 5):like 	 p.Theme
(977, 28):around 	 p.Approximator
(977, 31):for 	 p.Possession
(978, 6):for 	 p.Cost
(978, 7):like 	 p.Approximator
(979, 2):from 	 p.Source
(979, 5):to 	 p.Goal
(980, 3):like 	 p.Theme
(980, 11):before 	 p.Time
(981, 8):about 	 p.Topic
(982, 7):your 	 p.Possessor
(982, 9):in 	 p.Locus
(983, 1):At 	 p.Circumstance
(983, 2):my 	 p.Agent
(983, 15):of 	 p.QuantityItem
(984, 3):like 	 p.Theme
(984, 30):of 	 p.QuantityItem
(985, 20):on 	 p.Possessor
(985, 24):by 	 p.Means
(986, 3):as 	 p.Time
(986, 9):for 	 p.Theme
(986, 19):with 	 p.Theme
(986, 20):my 	 p.Agent
(987, 10):until 	 p.EndTime
(987, 13):my 	 p.Possessor
(988, 16):its 	 p.Gestalt
(988, 19):since 	 p.Explanation
(988, 32):without 	 p.Instrument
(989, 12):to 	 p.Recipient
(989, 37):' 	 p.Originator
(989, 46):by 	 p.Agent
(989, 47):their 	 p.SocialRel
(990, 3):of 	 p.Species
(991, 10):of 	 p.QuantityItem
(991, 23):about 	 p.Topic
(991, 31):to 	 p.ComparisonRef
(991, 33):of 	 p.QuantityItem
(991, 34):her 	 p.Possessor
(992, 3):since 	 p.Explanation
(992, 11):of 	 p.Gestalt
(992, 16):after 	 p.Time
(992, 25):of 	 p.Gestalt
(992, 45):with 	 p.Topic
(992, 46):my 	 p.Experiencer
(992, 56):as 	 p.Characteristic
(992, 58):as 	 p.ComparisonRef
(993, 1):My 	 p.Originator
(993, 16):with 	 p.Agent
(994, 3):like 	 p.ComparisonRef
(995, 20):into 	 p.Goal
(996, 6):your 	 p.Possessor
(997, 3):around 	 p.Locus
(998, 5):like 	 p.Theme
(998, 14):about 	 p.Topic
(999, 5):like 	 p.Theme
(999, 21):in 	 p.Possession
(999, 28):with 	 p.Topic
(999, 34):on 	 p.Time
(999, 40):my 	 p.Theme
(1000, 2):of 	 p.Stimulus
(1001, 4):at 	 p.Time
(1001, 7):of 	 p.Gestalt
(1001, 9):my 	 p.Possessor
(1001, 21):of 	 p.QuantityItem
(1002, 7):my 	 p.Agent
(1002, 16):with 	 p.Recipient
(1002, 19):to 	 p.Purpose
(1003, 1):My 	 p.Originator
(1003, 3):to 	 p.Recipient
(1003, 9):into 	 p.Goal
(1004, 1):My 	 p.SocialRel
(1004, 9):for 	 p.Purpose
(1004, 16):on 	 p.Topic
(1004, 17):our 	 p.Theme
(1005, 3):within 	 p.Locus
(1005, 6):of 	 p.Locus
(1005, 14):from 	 p.Source
(1005, 15):our 	 p.Gestalt
(1005, 17):for 	 p.Duration
(1006, 2):my 	 p.SocialRel
(1006, 9):our 	 p.Possessor
(1007, 1):My 	 p.SocialRel
(1007, 6):to 	 p.Purpose
(1007, 8):our 	 p.Possessor
(1008, 9):for 	 p.Possession
(1008, 18):within 	 p.Time
(1009, 8):after 	 p.Time
(1009, 10):my 	 p.Possessor
(1010, 5):to 	 p.Purpose
(1010, 7):to 	 p.Recipient
(1011, 1):In 	 p.Locus
(1011, 3):of 	 p.QuantityItem
(1011, 10):from 	 p.Originator
(1011, 16):their 	 p.Experiencer
(1012, 9):to 	 p.Purpose
(1012, 11):from 	 p.Explanation
(1012, 22):in 	 p.Time
(1012, 23):your 	 p.Theme
(1013, 12):to 	 p.Recipient
(1013, 18):for 	 p.Beneficiary
(1014, 9):their 	 p.SocialRel
(1014, 12):with 	 p.Instrument
(1015, 7):for 	 p.Possession
(1015, 23):for 	 p.Duration
(1015, 26):of 	 p.Whole
(1015, 29):for 	 p.Explanation
(1015, 37):on 	 p.Topic
(1015, 41):in 	 p.Locus
(1016, 6):on 	 p.Time
(1016, 17):in 	 p.Locus
(1016, 18):their 	 p.Possessor
(1017, 5):for 	 p.Topic
(1018, 64):HIS 	 p.Possessor
(1018, 71):FROM 	 p.Force
(1019, 4):AROUND 	 p.Locus
(1019, 5):IN 	 p.Locus
(1019, 6):MY 	 p.Possessor
(1020, 8):to 	 p.Purpose
(1020, 10):my 	 p.Possessor
(1021, 4):in 	 p.Time
(1021, 7):after 	 p.Time
(1021, 10):on 	 p.Time
(1021, 13):below 	 p.ComparisonRef
(1022, 5):to 	 p.Purpose
(1022, 9):with 	 p.Theme
(1022, 10):your 	 p.Experiencer
(1023, 1):My 	 p.OrgMember
(1024, 8):for 	 p.Purpose
(1025, 21):to 	 p.Purpose
(1026, 8):s 	 p.OrgMember
(1026, 11):around 	 p.Locus
(1027, 7):my 	 p.Gestalt
(1027, 14):my 	 p.SocialRel
(1027, 16):s 	 p.SocialRel
(1027, 25):through 	 p.Path
(1028, 7):to 	 p.Beneficiary
(1029, 3):after 	 p.Explanation
(1029, 6):of 	 p.QuantityItem
(1029, 12):like 	 p.Theme
(1029, 14):of 	 p.QuantityItem
(1030, 10):to 	 p.Goal
(1031, 10):for 	 p.ComparisonRef
(1032, 11):about 	 p.Gestalt
(1033, 6):to 	 p.Purpose
(1033, 15):back 	 p.Interval
(1033, 16):in 	 p.Time
(1033, 18):of 	 p.Time
(1034, 15):to 	 p.Theme
(1035, 15):of 	 p.Identity
(1036, 6):for 	 p.Cost
(1037, 5):for 	 p.Topic
(1037, 8):of 	 p.Species
(1038, 15):fot 	 p.Theme
(1039, 20):for 	 p.Theme
(1040, 7):about 	 p.Topic
(1040, 10):of 	 p.Species
(1041, 1):My 	 p.SocialRel
(1041, 7):for 	 p.Purpose
(1042, 3):of 	 p.QuantityItem
(1043, 30):His 	 p.Possessor
(1044, 6):to 	 p.Recipient
(1044, 13):your 	 p.Possessor
(1045, 10):o 	 p.Source
(1046, 3):my 	 p.Possessor
(1046, 5):at 	 p.Locus
(1047, 6):at 	 p.Time
(1047, 14):with 	 p.Characteristic
(1047, 19):to 	 p.Goal
(1047, 36):in 	 p.Whole
(1048, 12):with 	 p.PartPortion
(1049, 1):For 	 p.Recipient
(1049, 9):of 	 p.QuantityItem
(1049, 11):my 	 p.SocialRel
(1049, 15):to 	 p.Goal
(1049, 22):of 	 p.QuantityItem
(1049, 25):in 	 p.Whole
(1049, 29):of 	 p.QuantityItem
(1050, 7):to 	 p.Org
(1051, 4):to 	 p.Org
(1051, 8):their 	 p.Gestalt
(1052, 13):to 	 p.Goal
(1053, 13):with 	 p.Org
(1053, 17):in 	 p.Locus
(1053, 21):my 	 p.SocialRel
(1053, 26):in 	 p.Locus
(1053, 38):from 	 p.Originator
(1053, 43):to 	 p.Purpose
(1053, 47):of 	 p.Identity
(1054, 4):with 	 p.SocialRel
(1054, 7):at 	 p.Org
(1054, 16):as 	 p.Identity
(1055, 4):to 	 p.Recipient
(1055, 6):by 	 p.Originator
(1055, 17):with 	 p.Topic
(1055, 30):his 	 p.Gestalt
(1055, 32):of 	 p.QuantityItem
(1055, 34):at 	 p.Time
(1056, 3):after 	 p.Time
(1056, 14):before 	 p.Time
(1057, 5):of 	 p.QuantityItem
(1058, 8):of 	 p.Topic
(1059, 1):By 	 p.Time
(1059, 6):to 	 p.Goal
(1059, 15):with 	 p.Manner
(1060, 6):of 	 p.QuantityItem
(1061, 7):with 	 p.Circumstance
(1062, 12):in 	 p.Topic
(1062, 15):about 	 p.Topic
(1062, 20):with 	 p.Manner
(1063, 12):into 	 p.Goal
(1063, 13):your 	 p.Possessor
(1064, 4):my 	 p.Whole
(1064, 7):in 	 p.Locus
(1065, 1):With 	 p.Circumstance
(1065, 8):as 	 p.Characteristic
(1066, 2):after 	 p.Time
(1066, 3):my 	 p.Theme
(1066, 6):my 	 p.Whole
(1067, 8):of 	 p.Topic
(1067, 14):about 	 p.Topic
(1067, 19):with 	 p.Agent
(1068, 8):about 	 p.Topic
(1069, 21):before 	 p.Time
(1070, 7):our 	 p.SocialRel
(1071, 8):for 	 p.Purpose
(1071, 9):their 	 p.Gestalt
(1071, 22):to 	 p.Purpose
(1071, 24):on 	 p.Locus
(1071, 33):at 	 p.Time
(1071, 36):on 	 p.Time
(1071, 57):than 	 p.ComparisonRef
(1072, 12):than 	 p.ComparisonRef
(1073, 1):For 	 p.Cost
(1073, 9):from 	 p.Source
(1073, 12):of 	 p.Identity
(1073, 14):indoors 	 p.Locus
(1073, 15):with 	 p.Ancillary
(1074, 4):his 	 p.SocialRel
(1074, 6):of 	 p.QuantityItem
(1075, 5):from 	 p.Stimulus
(1075, 8):for 	 p.Duration
(1075, 9):over 	 p.Approximator
(1075, 24):with 	 p.Circumstance
(1076, 9):to 	 p.Purpose
